model,country,language,prompt_no,eval_method,score,iteration
qwen3-14b,China,English,inst-1,SEM-W,12.819971870604782,1
qwen3-14b,China,English,inst-1,SEM-B,14.345991561181432,2
qwen3-14b,China,English,inst-1,SEM-W,12.81293952180028,2
qwen3-14b,China,English,inst-1,SEM-B,14.978902953586498,3
qwen3-14b,China,English,inst-1,SEM-W,13.551336146272853,3
qwen3-14b,China,English,inst-1,SEM-B,14.978902953586498,4
qwen3-14b,China,English,inst-1,SEM-W,13.19971870604782,4
qwen3-14b,China,English,inst-1,SEM-B,14.978902953586498,5
qwen3-14b,China,English,inst-1,SEM-W,13.30872011251758,5
qwen3-14b,Indonesia,English,inst-1,SEM-B,12.708333333333332,1
qwen3-14b,Indonesia,English,inst-1,SEM-W,11.32986111111111,1
qwen3-14b,Indonesia,English,inst-1,SEM-B,14.166666666666666,2
qwen3-14b,Indonesia,English,inst-1,SEM-W,13.128472222222223,2
qwen3-14b,Indonesia,English,inst-1,SEM-B,13.125,3
qwen3-14b,Indonesia,English,inst-1,SEM-W,11.600694444444445,3
qwen3-14b,Indonesia,English,inst-1,SEM-B,13.958333333333334,4
qwen3-14b,Indonesia,English,inst-1,SEM-W,12.190972222222223,4
qwen3-14b,Indonesia,English,inst-1,SEM-B,15.416666666666668,5
qwen3-14b,Indonesia,English,inst-1,SEM-W,13.145833333333334,5
qwen3-14b,Spain,English,inst-1,SEM-B,14.072494669509595,1
qwen3-14b,Spain,English,inst-1,SEM-W,12.373845060412224,1
qwen3-14b,Spain,English,inst-1,SEM-B,13.646055437100213,2
qwen3-14b,Spain,English,inst-1,SEM-W,11.918976545842218,2
qwen3-14b,Spain,English,inst-1,SEM-B,14.498933901918976,3
qwen3-14b,Spain,English,inst-1,SEM-W,12.800284292821608,3
qwen3-14b,Spain,English,inst-1,SEM-B,13.646055437100213,4
qwen3-14b,Spain,English,inst-1,SEM-W,12.249466950959487,4
qwen3-14b,Spain,English,inst-1,SEM-B,13.432835820895525,5
qwen3-14b,Spain,English,inst-1,SEM-W,12.51599147121535,5
qwen3-14b,Iran,English,inst-1,SEM-B,13.37719298245614,1
qwen3-14b,Iran,English,inst-1,SEM-W,11.714181286549708,1
qwen3-14b,Iran,English,inst-1,SEM-B,13.37719298245614,2
qwen3-14b,Iran,English,inst-1,SEM-W,11.465643274853802,2
qwen3-14b,Iran,English,inst-1,SEM-B,14.035087719298245,3
qwen3-14b,Iran,English,inst-1,SEM-W,12.514619883040936,3
qwen3-14b,Iran,English,inst-1,SEM-B,13.37719298245614,4
qwen3-14b,Iran,English,inst-1,SEM-W,11.966374269005849,4
qwen3-14b,Iran,English,inst-1,SEM-B,11.842105263157894,5
qwen3-14b,Iran,English,inst-1,SEM-W,10.230263157894738,5
qwen3-14b,Mexico,English,inst-1,SEM-B,12.31732776617954,1
qwen3-14b,Mexico,English,inst-1,SEM-W,11.27696590118302,1
qwen3-14b,Mexico,English,inst-1,SEM-B,12.526096033402922,2
qwen3-14b,Mexico,English,inst-1,SEM-W,10.755045233124566,2
qwen3-14b,Mexico,English,inst-1,SEM-B,13.152400835073069,3
qwen3-14b,Mexico,English,inst-1,SEM-W,11.760612386917188,3
qwen3-14b,Mexico,English,inst-1,SEM-B,12.526096033402922,4
qwen3-14b,Mexico,English,inst-1,SEM-W,10.897703549060545,4
qwen3-14b,Mexico,English,inst-1,SEM-B,12.10855949895616,5
qwen3-14b,Mexico,English,inst-1,SEM-W,10.876826722338205,5
qwen3-14b,Assam,English,inst-6,SEM-B,10.90146750524109,1
qwen3-14b,Assam,English,inst-6,SEM-W,9.22082459818309,1
qwen3-14b,Assam,English,inst-6,SEM-B,10.90146750524109,2
qwen3-14b,Assam,English,inst-6,SEM-W,9.143955276030749,2
qwen3-14b,Assam,English,inst-6,SEM-B,10.69182389937107,3
qwen3-14b,Assam,English,inst-6,SEM-W,8.756114605171208,3
qwen3-14b,Assam,English,inst-6,SEM-B,10.482180293501049,4
qwen3-14b,Assam,English,inst-6,SEM-W,9.018169112508732,4
qwen3-14b,Assam,English,inst-6,SEM-B,9.853249475890983,5
qwen3-14b,Assam,English,inst-6,SEM-W,7.952480782669462,5
qwen3-14b,Greece,English,inst-6,SEM-B,14.130434782608695,1
qwen3-14b,Greece,English,inst-6,SEM-W,11.634057971014494,1
qwen3-14b,Greece,English,inst-6,SEM-B,14.130434782608695,2
qwen3-14b,Greece,English,inst-6,SEM-W,12.123188405797102,2
qwen3-14b,Greece,English,inst-6,SEM-B,14.130434782608695,3
qwen3-14b,Greece,English,inst-6,SEM-W,11.96014492753623,3
qwen3-14b,Greece,English,inst-6,SEM-B,15.217391304347828,4
qwen3-14b,Greece,English,inst-6,SEM-W,12.431159420289855,4
qwen3-14b,Greece,English,inst-6,SEM-B,14.565217391304348,5
qwen3-14b,Greece,English,inst-6,SEM-W,12.394927536231885,5
qwen3-14b,Ethiopia,English,inst-6,SEM-B,11.440677966101696,1
qwen3-14b,Ethiopia,English,inst-6,SEM-W,9.696327683615818,1
qwen3-14b,Ethiopia,English,inst-6,SEM-B,10.16949152542373,2
qwen3-14b,Ethiopia,English,inst-6,SEM-W,8.559322033898304,2
qwen3-14b,Ethiopia,English,inst-6,SEM-B,10.805084745762713,3
qwen3-14b,Ethiopia,English,inst-6,SEM-W,9.19138418079096,3
qwen3-14b,Ethiopia,English,inst-6,SEM-B,11.016949152542372,4
qwen3-14b,Ethiopia,English,inst-6,SEM-W,9.491525423728811,4
qwen3-14b,Ethiopia,English,inst-6,SEM-B,10.59322033898305,5
qwen3-14b,Ethiopia,English,inst-6,SEM-W,9.279661016949154,5
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-B,8.571428571428571,1
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-W,7.326007326007325,1
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-B,8.571428571428571,2
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-W,7.472527472527473,2
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-B,7.6923076923076925,3
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-W,7.106227106227108,3
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-B,8.131868131868131,4
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-W,7.106227106227105,4
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-B,8.35164835164835,5
qwen3-14b,Northern_Nigeria,English,inst-6,SEM-W,7.326007326007325,5
qwen3-14b,Azerbaijan,English,inst-4,SEM-B,12.153518123667377,1
qwen3-14b,Azerbaijan,English,inst-4,SEM-W,10.330490405117269,1
qwen3-14b,Azerbaijan,English,inst-4,SEM-B,13.432835820895525,2
qwen3-14b,Azerbaijan,English,inst-4,SEM-W,11.343283582089551,2
qwen3-14b,Azerbaijan,English,inst-4,SEM-B,12.366737739872068,3
qwen3-14b,Azerbaijan,English,inst-4,SEM-W,10.749822316986496,3
qwen3-14b,Azerbaijan,English,inst-4,SEM-B,13.219616204690832,4
qwen3-14b,Azerbaijan,English,inst-4,SEM-W,11.019900497512438,4
qwen3-14b,Azerbaijan,English,inst-4,SEM-B,12.366737739872068,5
qwen3-14b,Azerbaijan,English,inst-4,SEM-W,10.58990760483298,5
qwen3-14b,North_Korea,English,inst-6,SEM-B,9.00900900900901,1
qwen3-14b,North_Korea,English,inst-6,SEM-W,7.165915915915916,1
qwen3-14b,North_Korea,English,inst-6,SEM-B,9.684684684684685,2
qwen3-14b,North_Korea,English,inst-6,SEM-W,7.972972972972972,2
qwen3-14b,North_Korea,English,inst-6,SEM-B,9.90990990990991,3
qwen3-14b,North_Korea,English,inst-6,SEM-W,7.766516516516517,3
qwen3-14b,North_Korea,English,inst-6,SEM-B,10.36036036036036,4
qwen3-14b,North_Korea,English,inst-6,SEM-W,8.273273273273272,4
qwen3-14b,North_Korea,English,inst-6,SEM-B,10.135135135135137,5
qwen3-14b,North_Korea,English,inst-6,SEM-W,8.442192192192193,5
qwen3-14b,West_Java,English,inst-6,SEM-B,7.860262008733625,1
qwen3-14b,West_Java,English,inst-6,SEM-W,6.455604075691412,1
qwen3-14b,West_Java,English,inst-6,SEM-B,10.04366812227074,2
qwen3-14b,West_Java,English,inst-6,SEM-W,8.384279475982533,2
qwen3-14b,West_Java,English,inst-6,SEM-B,8.51528384279476,3
qwen3-14b,West_Java,English,inst-6,SEM-W,7.54730713245997,3
qwen3-14b,West_Java,English,inst-6,SEM-B,9.170305676855897,4
qwen3-14b,West_Java,English,inst-6,SEM-W,7.969432314410481,4
qwen3-14b,West_Java,English,inst-6,SEM-B,10.04366812227074,5
qwen3-14b,West_Java,English,inst-6,SEM-W,8.657205240174672,5
