MCQID,ID,country,prompt,choices,choice_countries,answer_idx,full_res,final_ans,iteration,persona,reasoning
Th-en-48_26,Th-en-48,UK,"What is the highest grade given to top-achieving high school students on assignments and exams in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 100
B. 20
C. 5
D. a*

Answer:","{
    ""A"": ""100"",
    ""B"": ""20"",
    ""C"": ""5"",
    ""D"": ""a*""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""Iran"",
    ""C"": ""Azerbaijan"",
    ""D"": ""UK""
}",D,C,C,1,,
New-gr-15_116,New-gr-15,UK,"What is the most popular traditional dessert in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chopped meat
B. dziriet
C. faloodeh
D. trifle

Answer:","{
    ""A"": ""chopped meat"",
    ""B"": ""dziriet"",
    ""C"": ""faloodeh"",
    ""D"": ""trifle""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Algeria"",
    ""C"": ""Iran"",
    ""D"": ""UK""
}",D,D,D,1,,
New-in-03_52,New-in-03,UK,"What type of food from the UK is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dolma
B. dumplings
C. fish & chips
D. fried rice

Answer:","{
    ""A"": ""dolma"",
    ""B"": ""dumplings"",
    ""C"": ""fish & chips"",
    ""D"": ""fried rice""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""China"",
    ""C"": ""UK"",
    ""D"": ""Indonesia""
}",C,C,C,1,,
New-in-33_108,New-in-33,UK,"What region in the UK is usually associated with mining? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. gangwon province
B. kalbajar
C. sonora
D. yorkshire

Answer:","{
    ""A"": ""gangwon province"",
    ""B"": ""kalbajar"",
    ""C"": ""sonora"",
    ""D"": ""yorkshire""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Azerbaijan"",
    ""C"": ""Mexico"",
    ""D"": ""UK""
}",D,D,D,1,,
Nu-in-40_166,Nu-in-40,UK,"Which city is the main destination for job seekers in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. jakarta
B. london
C. madrid
D. tehran

Answer:","{
    ""A"": ""jakarta"",
    ""B"": ""london"",
    ""C"": ""madrid"",
    ""D"": ""tehran""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""UK"",
    ""C"": ""Spain"",
    ""D"": ""Iran""
}",B,B,B,1,,
New-in-34_6,New-in-34,UK,"What region in the UK is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. TX
B. andalusia
C. scotland
D. south

Answer:","{
    ""A"": ""TX"",
    ""B"": ""andalusia"",
    ""C"": ""scotland"",
    ""D"": ""south""
}","{
    ""A"": ""US"",
    ""B"": ""Spain"",
    ""C"": ""UK"",
    ""D"": ""Iran""
}",C,C,C,1,,
Th-en-38_54,Th-en-38,UK,"What is the most important family holiday in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. birthday's celebrations
B. children's day
C. christmas
D. wedding

Answer:","{
    ""A"": ""birthday's celebrations"",
    ""B"": ""children's day"",
    ""C"": ""christmas"",
    ""D"": ""wedding""
}","{
    ""A"": ""Mexico"",
    ""B"": ""South_Korea"",
    ""C"": ""UK"",
    ""D"": ""Spain""
}",C,C,C,1,,
New-gr-05_69,New-gr-05,UK,"What is the most popular grab-and-go breakfast option in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. pasta
B. porridge
C. rice flour
D. toast

Answer:","{
    ""A"": ""pasta"",
    ""B"": ""porridge"",
    ""C"": ""rice flour"",
    ""D"": ""toast""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""West_Java"",
    ""C"": ""Assam"",
    ""D"": ""UK""
}",D,D,D,1,,
Th-en-38_4,Th-en-38,UK,"What is the most important family holiday in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bihu
B. christmas
C. lunar new year
D. wedding

Answer:","{
    ""A"": ""bihu"",
    ""B"": ""christmas"",
    ""C"": ""lunar new year"",
    ""D"": ""wedding""
}","{
    ""A"": ""Assam"",
    ""B"": ""UK"",
    ""C"": ""China"",
    ""D"": ""Spain""
}",B,B,B,1,,
Ta-pe-23_1,Ta-pe-23,UK,"Which daily exercise is popular among men in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. badminton
B. basketball
C. gym
D. running

Answer:","{
    ""A"": ""badminton"",
    ""B"": ""basketball"",
    ""C"": ""gym"",
    ""D"": ""running""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""China"",
    ""C"": ""South_Korea"",
    ""D"": ""UK""
}",D,D,D,1,,
New-en-79_105,New-en-79,UK,"Which region of the UK is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bandung
B. beijing
C. london
D. new york city

Answer:","{
    ""A"": ""bandung"",
    ""B"": ""beijing"",
    ""C"": ""london"",
    ""D"": ""new york city""
}","{
    ""A"": ""West_Java"",
    ""B"": ""China"",
    ""C"": ""UK"",
    ""D"": ""US""
}",C,C,C,1,,
New-gr-05_57,New-gr-05,UK,"What is the most popular grab-and-go breakfast option in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bread cheese walnut
B. pasta
C. rice flour
D. toast

Answer:","{
    ""A"": ""bread cheese walnut"",
    ""B"": ""pasta"",
    ""C"": ""rice flour"",
    ""D"": ""toast""
}","{
    ""A"": ""Iran"",
    ""B"": ""Ethiopia"",
    ""C"": ""Assam"",
    ""D"": ""UK""
}",D,D,D,1,,
Sa-en-13_11,Sa-en-13,UK,"What is the food that is most divisive (either love or hate) in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. durian
B. marmite
C. meat
D. tamale sandwich

Answer:","{
    ""A"": ""durian"",
    ""B"": ""marmite"",
    ""C"": ""meat"",
    ""D"": ""tamale sandwich""
}","{
    ""A"": ""West_Java"",
    ""B"": ""UK"",
    ""C"": ""US"",
    ""D"": ""Mexico""
}",B,B,B,1,,
New-en-79_281,New-en-79,UK,"Which region of the UK is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baku
B. bandung
C. london
D. pyongyang

Answer:","{
    ""A"": ""baku"",
    ""B"": ""bandung"",
    ""C"": ""london"",
    ""D"": ""pyongyang""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""West_Java"",
    ""C"": ""UK"",
    ""D"": ""North_Korea""
}",C,C,C,1,,
Sa-en-6_1,Sa-en-6,UK,"What is the most popular takeaway food in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fried chicken
B. indian
C. karantika
D. sandwich

Answer:","{
    ""A"": ""fried chicken"",
    ""B"": ""indian"",
    ""C"": ""karantika"",
    ""D"": ""sandwich""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""UK"",
    ""C"": ""Algeria"",
    ""D"": ""Mexico""
}",B,B,B,1,,
New-en-79_9,New-en-79,UK,"Which region of the UK is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. kano
B. london
C. new york city
D. pyongyang

Answer:","{
    ""A"": ""kano"",
    ""B"": ""london"",
    ""C"": ""new york city"",
    ""D"": ""pyongyang""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""UK"",
    ""C"": ""US"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
New-pe-85_184,New-pe-85,UK,"Where is the most popular tourist destination abroad for people from the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. china
B. italy
C. spain
D. united states

Answer:","{
    ""A"": ""china"",
    ""B"": ""italy"",
    ""C"": ""spain"",
    ""D"": ""united states""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""Greece"",
    ""C"": ""UK"",
    ""D"": ""Mexico""
}",C,C,C,1,,
New-en-76_46,New-en-76,UK,"Which airport in the UK is the busiest during the holiday season? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bole
B. denpasar
C. heathrow
D. houari boumediene

Answer:","{
    ""A"": ""bole"",
    ""B"": ""denpasar"",
    ""C"": ""heathrow"",
    ""D"": ""houari boumediene""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Indonesia"",
    ""C"": ""UK"",
    ""D"": ""Algeria""
}",C,C,C,1,,
Th-en-12_132,Th-en-12,UK,"In which sport has the UK been most successful in international competitions? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. archery
B. running
C. soccer
D. water polo

Answer:","{
    ""A"": ""archery"",
    ""B"": ""running"",
    ""C"": ""soccer"",
    ""D"": ""water polo""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Ethiopia"",
    ""C"": ""UK"",
    ""D"": ""Greece""
}",C,C,C,1,,
Th-en-24_151,Th-en-24,UK,"What region in the UK is a major hub for tech workers and start ups? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. addis ababa
B. london
C. silicon valley
D. tehran

Answer:","{
    ""A"": ""addis ababa"",
    ""B"": ""london"",
    ""C"": ""silicon valley"",
    ""D"": ""tehran""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""UK"",
    ""C"": ""US"",
    ""D"": ""Iran""
}",B,B,B,1,,
Ta-pe-37_77,Ta-pe-37,UK,"What is the common symbol of New Year's Eve that is usually found in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bosingak bell
B. fireworks
C. pine tree
D. vasilopita

Answer:","{
    ""A"": ""bosingak bell"",
    ""B"": ""fireworks"",
    ""C"": ""pine tree"",
    ""D"": ""vasilopita""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""UK"",
    ""C"": ""Azerbaijan"",
    ""D"": ""Greece""
}",B,B,B,1,,
New-ha-07_83,New-ha-07,UK,"What food originated from the UK and can be found all over the world? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dumplings
B. fish & chips
C. injera
D. pork belly

Answer:","{
    ""A"": ""dumplings"",
    ""B"": ""fish & chips"",
    ""C"": ""injera"",
    ""D"": ""pork belly""
}","{
    ""A"": ""China"",
    ""B"": ""UK"",
    ""C"": ""Ethiopia"",
    ""D"": ""South_Korea""
}",B,B,B,1,,
New-su-01_1,New-su-01,UK,"What snacks are usually sold in front of schools in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cup tteokbokki
B. pizza
C. pork rinds
D. sweets

Answer:","{
    ""A"": ""cup tteokbokki"",
    ""B"": ""pizza"",
    ""C"": ""pork rinds"",
    ""D"": ""sweets""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Algeria"",
    ""C"": ""Mexico"",
    ""D"": ""UK""
}",D,D,D,1,,
Th-en-12_164,Th-en-12,UK,"In which sport has the UK been most successful in international competitions? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. karate
B. soccer
C. water polo
D. weightlifting

Answer:","{
    ""A"": ""karate"",
    ""B"": ""soccer"",
    ""C"": ""water polo"",
    ""D"": ""weightlifting""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""UK"",
    ""C"": ""Greece"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
New-pe-86_17,New-pe-86,UK,"What is the name of the most famous tower in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. empire state building
B. harar barrage
C. oriental pearl
D. tower of london

Answer:","{
    ""A"": ""empire state building"",
    ""B"": ""harar barrage"",
    ""C"": ""oriental pearl"",
    ""D"": ""tower of london""
}","{
    ""A"": ""US"",
    ""B"": ""Ethiopia"",
    ""C"": ""China"",
    ""D"": ""UK""
}",D,D,D,1,,
New-ha-07_214,New-ha-07,UK,"What food originated from the UK and can be found all over the world? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. burgers
B. fish & chips
C. gimchi
D. gyro

Answer:","{
    ""A"": ""burgers"",
    ""B"": ""fish & chips"",
    ""C"": ""gimchi"",
    ""D"": ""gyro""
}","{
    ""A"": ""US"",
    ""B"": ""UK"",
    ""C"": ""North_Korea"",
    ""D"": ""Greece""
}",B,B,B,1,,
New-in-33_36,New-in-33,UK,"What region in the UK is usually associated with mining? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. benshangul region
B. papua
C. shanxi
D. yorkshire

Answer:","{
    ""A"": ""benshangul region"",
    ""B"": ""papua"",
    ""C"": ""shanxi"",
    ""D"": ""yorkshire""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""UK""
}",D,D,D,1,,
New-ha-07_199,New-ha-07,UK,"What food originated from the UK and can be found all over the world? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fish & chips
B. gimchi
C. injera
D. pork belly

Answer:","{
    ""A"": ""fish & chips"",
    ""B"": ""gimchi"",
    ""C"": ""injera"",
    ""D"": ""pork belly""
}","{
    ""A"": ""UK"",
    ""B"": ""North_Korea"",
    ""C"": ""Ethiopia"",
    ""D"": ""South_Korea""
}",A,A,A,1,,
New-en-90_25,New-en-90,UK,"What is the most famous hotel brand in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. four seasons
B. marriott
C. premier inn
D. the shilla

Answer:","{
    ""A"": ""four seasons"",
    ""B"": ""marriott"",
    ""C"": ""premier inn"",
    ""D"": ""the shilla""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""US"",
    ""C"": ""UK"",
    ""D"": ""South_Korea""
}",C,C,C,1,,
New-gr-06_34,New-gr-06,UK,"What is the most popular food in the UK among young people? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fast food
B. pasta with minced meat
C. seblak
D. stir-fried rice cakes

Answer:","{
    ""A"": ""fast food"",
    ""B"": ""pasta with minced meat"",
    ""C"": ""seblak"",
    ""D"": ""stir-fried rice cakes""
}","{
    ""A"": ""UK"",
    ""B"": ""Greece"",
    ""C"": ""West_Java"",
    ""D"": ""South_Korea""
}",A,A,A,1,,
New-spme-05_15,New-spme-05,UK,"What are the most popular sweets in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. coconut laddu
B. dziriet
C. haribo
D. sweet martabak

Answer:","{
    ""A"": ""coconut laddu"",
    ""B"": ""dziriet"",
    ""C"": ""haribo"",
    ""D"": ""sweet martabak""
}","{
    ""A"": ""Assam"",
    ""B"": ""Algeria"",
    ""C"": ""UK"",
    ""D"": ""Indonesia""
}",C,C,C,1,,
New-su-15_39,New-su-15,UK,"What is the most popular traditional non-alcoholic drink in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bajigur
B. cendol
C. horchata
D. tea

Answer:","{
    ""A"": ""bajigur"",
    ""B"": ""cendol"",
    ""C"": ""horchata"",
    ""D"": ""tea""
}","{
    ""A"": ""West_Java"",
    ""B"": ""Indonesia"",
    ""C"": ""Mexico"",
    ""D"": ""UK""
}",D,D,D,1,,
New-pe-85_43,New-pe-85,UK,"Where is the most popular tourist destination abroad for people from the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. italy
B. mexico
C. spain
D. turkey

Answer:","{
    ""A"": ""italy"",
    ""B"": ""mexico"",
    ""C"": ""spain"",
    ""D"": ""turkey""
}","{
    ""A"": ""Greece"",
    ""B"": ""US"",
    ""C"": ""UK"",
    ""D"": ""Azerbaijan""
}",C,A,A,1,,
New-en-87_178,New-en-87,UK,"What is the most famous historic landmark in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 1821
B. gyeongju historic areas
C. stonehenge
D. white house

Answer:","{
    ""A"": ""1821"",
    ""B"": ""gyeongju historic areas"",
    ""C"": ""stonehenge"",
    ""D"": ""white house""
}","{
    ""A"": ""Greece"",
    ""B"": ""South_Korea"",
    ""C"": ""UK"",
    ""D"": ""US""
}",C,C,C,1,,
New-in-63_1,New-in-63,UK,"What university in the UK is popular because of its school of medicine? (Provide the official name.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. gondar
B. snu
C. tehran
D. university of oxford

Answer:","{
    ""A"": ""gondar"",
    ""B"": ""snu"",
    ""C"": ""tehran"",
    ""D"": ""university of oxford""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""South_Korea"",
    ""C"": ""Iran"",
    ""D"": ""UK""
}",D,D,D,1,,
New-in-34_129,New-in-34,UK,"What region in the UK is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. papua
B. scotland
C. somali region
D. thasos

Answer:","{
    ""A"": ""papua"",
    ""B"": ""scotland"",
    ""C"": ""somali region"",
    ""D"": ""thasos""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""UK"",
    ""C"": ""Ethiopia"",
    ""D"": ""Greece""
}",B,B,B,1,,
New-en-87_142,New-en-87,UK,"What is the most famous historic landmark in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 1821
B. gyeongju historic areas
C. rang ghar
D. stonehenge

Answer:","{
    ""A"": ""1821"",
    ""B"": ""gyeongju historic areas"",
    ""C"": ""rang ghar"",
    ""D"": ""stonehenge""
}","{
    ""A"": ""Greece"",
    ""B"": ""South_Korea"",
    ""C"": ""Assam"",
    ""D"": ""UK""
}",D,D,D,1,,
New-en-90_16,New-en-90,UK,"What is the most famous hotel brand in the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. home inns
B. premier inn
C. sheraton
D. the shilla

Answer:","{
    ""A"": ""home inns"",
    ""B"": ""premier inn"",
    ""C"": ""sheraton"",
    ""D"": ""the shilla""
}","{
    ""A"": ""China"",
    ""B"": ""UK"",
    ""C"": ""Algeria"",
    ""D"": ""South_Korea""
}",B,B,B,1,,
Th-en-44_70,Th-en-44,UK,"What is the UK's most popular food for family meals on weekends? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. Sunday roast
B. grilled meat
C. lentil rice
D. tebs

Answer:","{
    ""A"": ""Sunday roast"",
    ""B"": ""grilled meat"",
    ""C"": ""lentil rice"",
    ""D"": ""tebs""
}","{
    ""A"": ""UK"",
    ""B"": ""Mexico"",
    ""C"": ""Assam"",
    ""D"": ""Ethiopia""
}",A,A,A,1,,
Th-en-44_22,Th-en-44,UK,"What is the UK's most popular food for family meals on weekends? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. Sunday roast
B. couscous
C. hot pot
D. tebs

Answer:","{
    ""A"": ""Sunday roast"",
    ""B"": ""couscous"",
    ""C"": ""hot pot"",
    ""D"": ""tebs""
}","{
    ""A"": ""UK"",
    ""B"": ""Algeria"",
    ""C"": ""China"",
    ""D"": ""Ethiopia""
}",A,A,A,1,,
New-pe-85_57,New-pe-85,UK,"Where is the most popular tourist destination abroad for people from the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dubai
B. japan
C. spain
D. tunisia

Answer:","{
    ""A"": ""dubai"",
    ""B"": ""japan"",
    ""C"": ""spain"",
    ""D"": ""tunisia""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""South_Korea"",
    ""C"": ""UK"",
    ""D"": ""Algeria""
}",C,C,C,1,,
New-en-79_235,New-en-79,UK,"Which region of the UK is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bandung
B. beijing
C. jorhat
D. london

Answer:","{
    ""A"": ""bandung"",
    ""B"": ""beijing"",
    ""C"": ""jorhat"",
    ""D"": ""london""
}","{
    ""A"": ""West_Java"",
    ""B"": ""China"",
    ""C"": ""Assam"",
    ""D"": ""UK""
}",D,D,D,1,,
New-in-34_124,New-in-34,UK,"What region in the UK is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. TX
B. absheron
C. scotland
D. somali region

Answer:","{
    ""A"": ""TX"",
    ""B"": ""absheron"",
    ""C"": ""scotland"",
    ""D"": ""somali region""
}","{
    ""A"": ""US"",
    ""B"": ""Azerbaijan"",
    ""C"": ""UK"",
    ""D"": ""Ethiopia""
}",C,C,C,1,,
New-pe-85_185,New-pe-85,UK,"Where is the most popular tourist destination abroad for people from the UK? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dubai
B. maldives
C. mexico
D. spain

Answer:","{
    ""A"": ""dubai"",
    ""B"": ""maldives"",
    ""C"": ""mexico"",
    ""D"": ""spain""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""China"",
    ""C"": ""US"",
    ""D"": ""UK""
}",D,D,D,1,,
