model,country,language,eval_method,score,iteration
qwen3-14b,Algeria,English,SEM-W,10.34324942791762,3
qwen3-14b,Algeria,English,SEM-B,11.441647597254006,4
qwen3-14b,Algeria,English,SEM-W,9.65675057208238,4
qwen3-14b,Algeria,English,SEM-B,11.899313501144166,5
qwen3-14b,Algeria,English,SEM-W,10.362318840579707,5
qwen3-14b,China,English,SEM-B,15.61181434599156,1
qwen3-14b,China,English,SEM-W,13.287623066104077,1
qwen3-14b,China,English,SEM-B,14.978902953586498,2
qwen3-14b,China,English,SEM-W,12.700421940928267,2
qwen3-14b,China,English,SEM-B,14.556962025316457,3
qwen3-14b,China,English,SEM-W,12.693389592123768,3
qwen3-14b,China,English,SEM-B,14.978902953586498,4
qwen3-14b,China,English,SEM-W,13.175105485232066,4
qwen3-14b,China,English,SEM-B,14.978902953586498,5
qwen3-14b,China,English,SEM-W,13.069620253164556,5
qwen3-14b,Indonesia,English,SEM-B,11.875,1
qwen3-14b,Indonesia,English,SEM-W,10.204861111111112,1
qwen3-14b,Indonesia,English,SEM-B,12.708333333333332,2
qwen3-14b,Indonesia,English,SEM-W,10.836805555555555,2
qwen3-14b,Indonesia,English,SEM-B,13.125,3
qwen3-14b,Indonesia,English,SEM-W,11.506944444444445,3
qwen3-14b,Indonesia,English,SEM-B,13.750000000000002,4
qwen3-14b,Indonesia,English,SEM-W,11.937500000000002,4
qwen3-14b,Indonesia,English,SEM-B,14.166666666666666,5
qwen3-14b,Indonesia,English,SEM-W,12.086805555555554,5
qwen3-14b,Spain,English,SEM-B,13.646055437100213,1
qwen3-14b,Spain,English,SEM-W,12.594171997157073,1
qwen3-14b,Spain,English,SEM-B,12.57995735607676,2
qwen3-14b,Spain,English,SEM-W,11.542288557213928,2
qwen3-14b,Spain,English,SEM-B,13.859275053304904,3
qwen3-14b,Spain,English,SEM-W,12.57995735607676,3
qwen3-14b,Spain,English,SEM-B,14.072494669509595,4
qwen3-14b,Spain,English,SEM-W,12.57995735607676,4
qwen3-14b,Spain,English,SEM-B,13.219616204690832,5
qwen3-14b,Spain,English,SEM-W,11.311300639658848,5
qwen3-14b,Iran,English,SEM-B,11.62280701754386,1
qwen3-14b,Iran,English,SEM-W,10.460526315789474,1
qwen3-14b,Iran,English,SEM-B,11.842105263157894,2
qwen3-14b,Iran,English,SEM-W,10.142543859649123,2
qwen3-14b,Iran,English,SEM-B,11.842105263157894,3
qwen3-14b,Iran,English,SEM-W,10.453216374269008,3
qwen3-14b,Iran,English,SEM-B,11.842105263157894,4
qwen3-14b,Iran,English,SEM-W,10.46783625730994,4
qwen3-14b,Iran,English,SEM-B,12.06140350877193,5
qwen3-14b,Iran,English,SEM-W,10.847953216374268,5
qwen3-14b,Mexico,English,SEM-B,12.526096033402922,1
qwen3-14b,Mexico,English,SEM-W,10.633263743910923,1
qwen3-14b,Mexico,English,SEM-B,12.943632567849686,2
qwen3-14b,Mexico,English,SEM-W,11.050800278357691,2
qwen3-14b,Mexico,English,SEM-B,12.31732776617954,3
qwen3-14b,Mexico,English,SEM-W,10.908141962421713,3
qwen3-14b,Mexico,English,SEM-B,11.482254697286011,4
qwen3-14b,Mexico,English,SEM-W,10.076548364648572,4
qwen3-14b,Mexico,English,SEM-B,11.691022964509392,5
qwen3-14b,Mexico,English,SEM-W,10.215727209464164,5
qwen3-14b,Assam,English,SEM-B,11.740041928721174,1
qwen3-14b,Assam,English,SEM-W,9.587700908455624,1
qwen3-14b,Assam,English,SEM-B,11.320754716981131,2
qwen3-14b,Assam,English,SEM-W,9.252271139063591,2
qwen3-14b,Assam,English,SEM-B,12.159329140461216,3
qwen3-14b,Assam,English,SEM-W,10.349406009783369,3
qwen3-14b,Assam,English,SEM-B,11.949685534591197,4
qwen3-14b,Assam,English,SEM-W,10.041928721174004,4
qwen3-14b,Assam,English,SEM-B,10.69182389937107,5
qwen3-14b,Assam,English,SEM-W,8.955276030747727,5
qwen3-14b,Greece,English,SEM-B,13.260869565217392,1
qwen3-14b,Greece,English,SEM-W,10.95289855072464,1
qwen3-14b,Greece,English,SEM-B,13.478260869565217,2
qwen3-14b,Greece,English,SEM-W,10.884057971014496,2
qwen3-14b,Greece,English,SEM-B,14.347826086956522,3
qwen3-14b,Greece,English,SEM-W,11.684782608695654,3
qwen3-14b,Greece,English,SEM-B,14.130434782608695,4
qwen3-14b,Greece,English,SEM-W,11.213768115942033,4
qwen3-14b,Greece,English,SEM-B,14.130434782608695,5
qwen3-14b,Greece,English,SEM-W,11.286231884057973,5
qwen3-14b,Ethiopia,English,SEM-B,11.652542372881356,1
qwen3-14b,Ethiopia,English,SEM-W,9.424435028248586,1
qwen3-14b,Ethiopia,English,SEM-B,11.864406779661016,2
qwen3-14b,Ethiopia,English,SEM-W,9.61864406779661,2
qwen3-14b,Ethiopia,English,SEM-B,11.228813559322036,3
qwen3-14b,Ethiopia,English,SEM-W,9.184322033898304,3
qwen3-14b,Ethiopia,English,SEM-B,10.59322033898305,4
qwen3-14b,Ethiopia,English,SEM-W,8.824152542372882,4
qwen3-14b,Ethiopia,English,SEM-B,12.076271186440678,5
qwen3-14b,Ethiopia,English,SEM-W,9.97175141242938,5
qwen3-14b,Northern_Nigeria,English,SEM-B,7.912087912087911,1
qwen3-14b,Northern_Nigeria,English,SEM-W,6.8498168498168495,1
qwen3-14b,Northern_Nigeria,English,SEM-B,7.6923076923076925,2
qwen3-14b,Northern_Nigeria,English,SEM-W,7.069597069597069,2
qwen3-14b,Northern_Nigeria,English,SEM-B,7.912087912087911,3
qwen3-14b,Northern_Nigeria,English,SEM-W,7.142857142857142,3
qwen3-14b,Northern_Nigeria,English,SEM-B,7.472527472527473,4
qwen3-14b,Northern_Nigeria,English,SEM-W,6.593406593406594,4
qwen3-14b,Northern_Nigeria,English,SEM-B,7.472527472527473,5
qwen3-14b,Northern_Nigeria,English,SEM-W,6.5567765567765575,5
qwen3-14b,Azerbaijan,English,SEM-B,13.646055437100213,1
qwen3-14b,Azerbaijan,English,SEM-W,11.414356787491116,1
qwen3-14b,Azerbaijan,English,SEM-B,14.072494669509595,2
qwen3-14b,Azerbaijan,English,SEM-W,12.117981520966598,2
qwen3-14b,Azerbaijan,English,SEM-B,13.859275053304904,3
qwen3-14b,Azerbaijan,English,SEM-W,11.432125088841511,3
qwen3-14b,Azerbaijan,English,SEM-B,13.432835820895525,4
qwen3-14b,Azerbaijan,English,SEM-W,11.282871357498223,4
qwen3-14b,Azerbaijan,English,SEM-B,13.646055437100213,5
qwen3-14b,Azerbaijan,English,SEM-W,11.27221037668799,5
qwen3-14b,North_Korea,English,SEM-B,9.684684684684685,1
qwen3-14b,North_Korea,English,SEM-W,8.108108108108109,1
qwen3-14b,North_Korea,English,SEM-B,9.234234234234236,2
qwen3-14b,North_Korea,English,SEM-W,7.695195195195197,2
qwen3-14b,North_Korea,English,SEM-B,8.783783783783784,3
qwen3-14b,North_Korea,English,SEM-W,7.000750750750751,3
qwen3-14b,North_Korea,English,SEM-B,10.36036036036036,4
qwen3-14b,North_Korea,English,SEM-W,8.352102102102101,4
qwen3-14b,North_Korea,English,SEM-B,9.90990990990991,5
qwen3-14b,North_Korea,English,SEM-W,7.747747747747748,5
qwen3-14b,West_Java,English,SEM-B,11.572052401746726,1
qwen3-14b,West_Java,English,SEM-W,8.478893740902475,1
qwen3-14b,West_Java,English,SEM-B,11.135371179039302,2
qwen3-14b,West_Java,English,SEM-W,8.897379912663755,2
qwen3-14b,West_Java,English,SEM-B,11.790393013100436,3
qwen3-14b,West_Java,English,SEM-W,9.261280931586608,3
qwen3-14b,West_Java,English,SEM-B,12.008733624454148,4
qwen3-14b,West_Java,English,SEM-W,10.225618631732168,4
qwen3-14b,West_Java,English,SEM-B,11.572052401746726,5
qwen3-14b,West_Java,English,SEM-W,9.621542940320232,5
