model,country,iteration,question_id,correct,model_response,ground_truth
llama-3-8b-instruct,US,1,New-pe-20,1,volleyball,volleyball; American Football; football; frisbee; catch
llama-3-8b-instruct,US,1,New-pe-49,1,churches,church; home
llama-3-8b-instruct,US,1,New-pe-65,1,7,8; 7
llama-3-8b-instruct,US,1,New-pe-76,1,walking,picnicking; picnic; frisbee; ball sports; dog walking; walk dog; hike; camping; camp
llama-3-8b-instruct,US,1,New-pe-86,1,the empire state building.,empire state building; twin towers; world trade center; the sears tower
llama-3-8b-instruct,US,1,New-spme-05,1,"reese's peanut butter cups, m&m's, snickers, kit kat, and twix.",chocolate; chocolate candy; soda; soft drink; candy; hershey's; Resse's Puffs; Reese's; cookies; tart candies
llama-3-8b-instruct,US,1,New-spme-37,1,engineering,finance; politics; law; IT; Information Technology; business; engineering; mathematics; math
llama-3-8b-instruct,US,1,New-su-24,1,"golf, tennis, basketball, soccer, and bowling.",soccer; International Football; basketball; American Football; football; baseball; tennis; golf
llama-3-8b-instruct,US,1,New-su-33,1,business casual.,formal; professional casual; casual; business casual
llama-3-8b-instruct,US,1,New-su-34,1,band,band class; band; parade; chorus; marching band; choir; orchestras
llama-3-8b-instruct,US,1,New-su-57,1,cattle,chicken; cows; cow; cattle; pigs; pig; chickens
llama-3-8b-instruct,US,1,New-su-58,1,"cattle, pigs, chickens, turkeys, and dairy goats.",cows; cow; pigs; pig; chickens; chicken
llama-3-8b-instruct,US,1,Ni-en-12,1,harvard university,harvard university; harvard; yale; Massachusetts Institute of Technology; mit; standford
llama-3-8b-instruct,US,1,Ni-en-31,1,turkey,ham; pork roast; steak; turkey
llama-3-8b-instruct,US,1,Ni-en-40,1,"""white christmas""",all i want for christmas is you; all i want for christmas is you (mariah carey); deck the halls; jingle bell
llama-3-8b-instruct,US,1,Sa-en-22,1,university of alabama,university of alabama; notre dame university; notre dame; harvard; FU; university of florida; michigan state university; MSU; university of south carolina; USC; university of texas at austin; UT Austin
llama-3-8b-instruct,US,1,Sa-en-31,1,dog,dog; cat
llama-3-8b-instruct,US,1,Sa-en-7,1,"chips, cookies, popcorn, pretzels, crackers, candy, nuts, granola bars, energy bars, and fruit snacks.",chips; popcorn; Cheez-Its; ritz crackers; ice cream; cookies; m&m; hershey
llama-3-8b-instruct,US,1,Ta-pe-21,1,"schoolyards, parks, and fields.",field; outdoor field; youth soccer league; little league soccer; school; community park
llama-3-8b-instruct,US,1,Ta-pe-29,1,nba,American Football; football; nfl; baseball; mlb; basketball; nba; golf; soccer; International Football
llama-3-8b-instruct,US,1,Th-en-03,1,nfl,national football league; nfl; mlb; Major League Baseball; nba; National Basketball Association
llama-3-8b-instruct,US,1,Th-en-11,1,lebron james,tiger woods; Travis Kelce; travis kelce; Black Mamba; kobe bryant; TB12; tom brady; Brady; lebron james; Lebron; King James
llama-3-8b-instruct,US,1,Th-en-15,1,ice hockey,hockey; skiing; snowboarding
llama-3-8b-instruct,US,1,Th-en-35,1,dinner,dinner
llama-3-8b-instruct,US,1,Th-en-37,1,18,18; 21; 24
llama-3-8b-instruct,US,1,Th-en-44,1,pizza,pizza; burgers; hamburgers; fries; tacos; hotdogs; hot dogs; chicken; steak
llama-3-8b-instruct,US,1,Th-en-45,1,watching tv together,television; watching tv; tv; dinner; family dinner; having dinner together; playing games; stroll; walk; little league events; kids sporting events
llama-3-8b-instruct,US,1,Th-en-51,1,mathematics,english; Science Technology Engineering and Mathematics; STEM; mathematics; literature; science
llama-3-8b-instruct,US,1,Th-en-53,0,football games.,prom; homecoming; marching band; chorus; dances
llama-3-8b-instruct,US,1,Tmp-ar-01,1,library,library; home
llama-3-8b-instruct,South_Korea,1,Al-en-01,1,kimchi crackers,cookie; chip; snack; cracker; fruit; candy; bread
llama-3-8b-instruct,South_Korea,1,Al-en-04,1,apple,apple; watermelon; tangerine; mandarin; strawberry
llama-3-8b-instruct,South_Korea,1,Al-en-19,1,english,english
llama-3-8b-instruct,South_Korea,1,Al-en-32,0,nan,songpyeon; jeon; korean pancake; galbi
llama-3-8b-instruct,South_Korea,1,Al-en-39,1,tteokguk,seaweed soup; cake; galbi; rice
llama-3-8b-instruct,South_Korea,1,An-ar-03,1,12,12; 6; 7
llama-3-8b-instruct,South_Korea,1,Ca-sp-06,1,dinner,dinner; lunch
llama-3-8b-instruct,South_Korea,1,Ca-sp-11,1,sunday,saturday; sunday; friday
llama-3-8b-instruct,South_Korea,1,Ca-sp-41,1,with their adult children.,home; house; nursing home; care home; sanatorium; countryside
llama-3-8b-instruct,South_Korea,1,Gu-ch-08,0,futsal,soccer; dodgeball; baseball
llama-3-8b-instruct,South_Korea,1,Gu-ch-38,1,4,4
llama-3-8b-instruct,South_Korea,1,Ji-ko-14,1,electronics,semiconductor; automobile; car; electronic devices
llama-3-8b-instruct,South_Korea,1,Ji-ko-24,1,pc bangs,playground; kids cafe; slide; swing; amusement park; everland
llama-3-8b-instruct,South_Korea,1,Ji-ko-25,0,"* seollal (lunar new year)
* chuseok (harvest festival)",children's day; parents' day
llama-3-8b-instruct,South_Korea,1,Ji-ko-26,0,"1. leaving the family home at age 25-30
2. getting married
3. having children
4. buying a house
5. supporting parents financially",employment; marriage; university graduation
llama-3-8b-instruct,South_Korea,1,Ji-ko-28,1,100th day,first birthday party; first birthday; one hundredth day; 100th day
llama-3-8b-instruct,South_Korea,1,Ji-ko-29,0,60th,1; first; 1st; 70
llama-3-8b-instruct,South_Korea,1,Ji-ko-33,1,homes.,academy; house; home; own room; reading room; study room; pc room; pc bang; internet cafe
llama-3-8b-instruct,South_Korea,1,Ji-ko-34,1,"elementary school students in south korea typically take public transportation, walk, or bike to school.",walking; walk; car; bus
llama-3-8b-instruct,South_Korea,1,Ji-ko-35,1,hagwons,academy; private lesson; private tutoring; online lecture; math academy; english academy
llama-3-8b-instruct,South_Korea,1,Ji-ko-36,1,hagwon,mathematics; math; english
llama-3-8b-instruct,South_Korea,1,Ji-ko-37,1,uniforms,school uniform; pe uniform; pe clothes; gym clothes; p.e. clothes; p.e. uniform
llama-3-8b-instruct,South_Korea,1,Ji-ko-40,1,eat snacks and play video games.,game; nap; canteen; snack bar; cafeteria; toilet; bathroom; rest; chat; phone
llama-3-8b-instruct,South_Korea,1,Ji-ko-42,1,"korean language, mathematics, science, social studies, foreign language (english, chinese, japanese, or french).",english; korean language; mathematics; math
llama-3-8b-instruct,South_Korea,1,Ji-ko-45,0,food and games.,singer; performance; concert; celebrity; food
llama-3-8b-instruct,South_Korea,1,Jo-sp-13,0,sailing,swimming; surfing
llama-3-8b-instruct,South_Korea,1,Jo-sp-19,1,honam,honam; jeolla province; chungcheong province
llama-3-8b-instruct,South_Korea,1,Jod-ch-01,1,chopsticks,chopsticks; spoon; spoon and chopsticks
llama-3-8b-instruct,South_Korea,1,Jod-ch-07,0,2.5,1; 1.5; 2
llama-3-8b-instruct,South_Korea,1,Jod-ch-60,0,8.5,8; 9
llama-3-8b-instruct,South_Korea,1,Ki-pe-34,0,makgeolli,water; coffee; milk
llama-3-8b-instruct,South_Korea,1,Kik-in-16,1,hot tea,coffee; hot chocolate; ginger tea
llama-3-8b-instruct,South_Korea,1,Kik-in-36,0,park hang-seo,guus hiddink; hiddink
llama-3-8b-instruct,South_Korea,1,Kik-in-37,1,seoul vs busan,suwon bluewings vs fc seoul; suwon samsung bluewings vs fc seoul; real madrid vs fc barcelona; real madrid vs barcelona
