model,country,language,eval_method,score,iteration
llama-3-8b-instruct,Assam,English,SEM-B,11.530398322851152,1
llama-3-8b-instruct,Assam,English,SEM-W,9.751921733053807,1
llama-3-8b-instruct,Assam,English,SEM-B,10.062893081761008,2
llama-3-8b-instruct,Assam,English,SEM-W,8.735150244584206,2
llama-3-8b-instruct,Assam,English,SEM-B,11.11111111111111,3
llama-3-8b-instruct,Assam,English,SEM-W,8.487071977638015,3
llama-3-8b-instruct,Assam,English,SEM-B,11.11111111111111,4
llama-3-8b-instruct,Assam,English,SEM-W,8.658280922431866,4
llama-3-8b-instruct,Assam,English,SEM-B,11.11111111111111,5
llama-3-8b-instruct,Assam,English,SEM-W,8.95877009084556,5
llama-3-8b-instruct,Greece,English,SEM-B,13.043478260869565,1
llama-3-8b-instruct,Greece,English,SEM-W,10.286231884057967,1
llama-3-8b-instruct,Greece,English,SEM-B,13.91304347826087,2
llama-3-8b-instruct,Greece,English,SEM-W,10.909420289855074,2
llama-3-8b-instruct,Greece,English,SEM-B,12.608695652173912,3
llama-3-8b-instruct,Greece,English,SEM-W,10.539855072463766,3
llama-3-8b-instruct,Greece,English,SEM-B,14.130434782608695,4
llama-3-8b-instruct,Greece,English,SEM-W,11.351449275362322,4
llama-3-8b-instruct,Greece,English,SEM-B,13.478260869565217,5
llama-3-8b-instruct,Greece,English,SEM-W,11.655797101449275,5
llama-3-8b-instruct,Ethiopia,English,SEM-B,11.440677966101696,1
llama-3-8b-instruct,Ethiopia,English,SEM-W,9.487994350282488,1
llama-3-8b-instruct,Ethiopia,English,SEM-B,10.16949152542373,2
llama-3-8b-instruct,Ethiopia,English,SEM-W,8.358050847457626,2
llama-3-8b-instruct,Ethiopia,English,SEM-B,11.440677966101696,3
llama-3-8b-instruct,Ethiopia,English,SEM-W,9.73870056497175,3
llama-3-8b-instruct,Ethiopia,English,SEM-B,10.16949152542373,4
llama-3-8b-instruct,Ethiopia,English,SEM-W,8.827683615819208,4
llama-3-8b-instruct,Ethiopia,English,SEM-B,10.16949152542373,5
llama-3-8b-instruct,Ethiopia,English,SEM-W,8.619350282485875,5
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.095238095238095,1
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,8.791208791208792,2
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,7.9340659340659325,2
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,3
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,7.604395604395603,3
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.45054945054945,4
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.410256410256409,4
llama-3-8b-instruct,Northern_Nigeria,English,SEM-B,9.010989010989013,5
llama-3-8b-instruct,Northern_Nigeria,English,SEM-W,8.241758241758241,5
llama-3-8b-instruct,Azerbaijan,English,SEM-B,11.300639658848617,1
llama-3-8b-instruct,Azerbaijan,English,SEM-W,9.35323383084577,1
llama-3-8b-instruct,Azerbaijan,English,SEM-B,11.727078891257996,2
llama-3-8b-instruct,Azerbaijan,English,SEM-W,10.135039090262971,2
llama-3-8b-instruct,Azerbaijan,English,SEM-B,12.57995735607676,3
llama-3-8b-instruct,Azerbaijan,English,SEM-W,10.68230277185501,3
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.219616204690832,4
llama-3-8b-instruct,Azerbaijan,English,SEM-W,11.41435678749112,4
llama-3-8b-instruct,Azerbaijan,English,SEM-B,13.00639658848614,5
llama-3-8b-instruct,Azerbaijan,English,SEM-W,10.884861407249463,5
llama-3-8b-instruct,North_Korea,English,SEM-B,10.36036036036036,1
llama-3-8b-instruct,North_Korea,English,SEM-W,8.596096096096094,1
llama-3-8b-instruct,North_Korea,English,SEM-B,10.36036036036036,2
llama-3-8b-instruct,North_Korea,English,SEM-W,8.536036036036036,2
llama-3-8b-instruct,North_Korea,English,SEM-B,10.135135135135137,3
llama-3-8b-instruct,North_Korea,English,SEM-W,7.691441441441441,3
llama-3-8b-instruct,North_Korea,English,SEM-B,10.585585585585584,4
llama-3-8b-instruct,North_Korea,English,SEM-W,8.277027027027026,4
llama-3-8b-instruct,North_Korea,English,SEM-B,9.684684684684685,5
llama-3-8b-instruct,North_Korea,English,SEM-W,7.882882882882882,5
llama-3-8b-instruct,West_Java,English,SEM-B,9.170305676855897,1
llama-3-8b-instruct,West_Java,English,SEM-W,7.6491994177583695,1
llama-3-8b-instruct,West_Java,English,SEM-B,9.82532751091703,2
llama-3-8b-instruct,West_Java,English,SEM-W,7.929403202328967,2
llama-3-8b-instruct,West_Java,English,SEM-B,9.388646288209609,3
llama-3-8b-instruct,West_Java,English,SEM-W,8.060407569141192,3
llama-3-8b-instruct,West_Java,English,SEM-B,10.04366812227074,4
llama-3-8b-instruct,West_Java,English,SEM-W,8.59534206695779,4
llama-3-8b-instruct,West_Java,English,SEM-B,9.82532751091703,5
llama-3-8b-instruct,West_Java,English,SEM-W,7.791120815138283,5
