model,country,language,eval_method,score,iteration
qwen3-32b,Indonesia,English,SEM-W,10.67013888888889,1
qwen3-32b,Indonesia,English,SEM-B,12.5,2
qwen3-32b,Indonesia,English,SEM-W,10.90625,2
qwen3-32b,Indonesia,English,SEM-B,13.333333333333334,3
qwen3-32b,Indonesia,English,SEM-W,11.354166666666666,3
qwen3-32b,Indonesia,English,SEM-B,13.541666666666666,4
qwen3-32b,Indonesia,English,SEM-W,11.743055555555555,4
qwen3-32b,Indonesia,English,SEM-B,13.958333333333334,5
qwen3-32b,Indonesia,English,SEM-W,12.111111111111112,5
qwen3-32b,Spain,English,SEM-B,13.219616204690832,1
qwen3-32b,Spain,English,SEM-W,11.6453447050462,1
qwen3-32b,Spain,English,SEM-B,13.859275053304904,2
qwen3-32b,Spain,English,SEM-W,12.221037668798862,2
qwen3-32b,Spain,English,SEM-B,13.646055437100213,3
qwen3-32b,Spain,English,SEM-W,11.712864250177685,3
qwen3-32b,Spain,English,SEM-B,12.57995735607676,4
qwen3-32b,Spain,English,SEM-W,10.7818052594172,4
qwen3-32b,Spain,English,SEM-B,12.57995735607676,5
qwen3-32b,Spain,English,SEM-W,10.8955223880597,5
qwen3-32b,Iran,English,SEM-B,13.37719298245614,1
qwen3-32b,Iran,English,SEM-W,11.88230994152047,1
qwen3-32b,Iran,English,SEM-B,13.37719298245614,2
qwen3-32b,Iran,English,SEM-W,11.991959064327483,2
qwen3-32b,Iran,English,SEM-B,13.157894736842104,3
qwen3-32b,Iran,English,SEM-W,11.937134502923977,3
qwen3-32b,Iran,English,SEM-B,12.938596491228072,4
qwen3-32b,Iran,English,SEM-W,11.644736842105264,4
qwen3-32b,Iran,English,SEM-B,13.37719298245614,5
qwen3-32b,Iran,English,SEM-W,12.010233918128655,5
qwen3-32b,Mexico,English,SEM-B,13.778705636743217,1
qwen3-32b,Mexico,English,SEM-W,11.638830897703553,1
qwen3-32b,Mexico,English,SEM-B,13.569937369519833,2
qwen3-32b,Mexico,English,SEM-W,12.125956854558108,2
qwen3-32b,Mexico,English,SEM-B,12.10855949895616,3
qwen3-32b,Mexico,English,SEM-W,10.60194850382742,3
qwen3-32b,Mexico,English,SEM-B,12.526096033402922,4
qwen3-32b,Mexico,English,SEM-W,11.130828114126652,4
qwen3-32b,Mexico,English,SEM-B,12.734864300626306,5
qwen3-32b,Mexico,English,SEM-W,11.148225469728605,5
qwen3-32b,Assam,English,SEM-B,10.90146750524109,1
qwen3-32b,Assam,English,SEM-W,8.979734451432563,1
qwen3-32b,Assam,English,SEM-B,10.482180293501049,2
qwen3-32b,Assam,English,SEM-W,9.032145352900068,2
qwen3-32b,Assam,English,SEM-B,11.740041928721174,3
qwen3-32b,Assam,English,SEM-W,9.48637316561845,3
qwen3-32b,Assam,English,SEM-B,10.90146750524109,4
qwen3-32b,Assam,English,SEM-W,8.892382948986723,4
qwen3-32b,Assam,English,SEM-B,10.69182389937107,5
qwen3-32b,Assam,English,SEM-W,9.206848357791754,5
qwen3-32b,Greece,English,SEM-B,13.91304347826087,1
qwen3-32b,Greece,English,SEM-W,11.206521739130434,1
qwen3-32b,Greece,English,SEM-B,14.130434782608695,2
qwen3-32b,Greece,English,SEM-W,11.460144927536234,2
qwen3-32b,Greece,English,SEM-B,13.91304347826087,3
qwen3-32b,Greece,English,SEM-W,11.434782608695652,3
qwen3-32b,Greece,English,SEM-B,14.130434782608695,4
qwen3-32b,Greece,English,SEM-W,11.52536231884058,4
qwen3-32b,Greece,English,SEM-B,13.695652173913045,5
qwen3-32b,Greece,English,SEM-W,11.45289855072464,5
qwen3-32b,Ethiopia,English,SEM-B,11.864406779661016,1
qwen3-32b,Ethiopia,English,SEM-W,9.646892655367232,1
qwen3-32b,Ethiopia,English,SEM-B,10.805084745762713,2
qwen3-32b,Ethiopia,English,SEM-W,8.975988700564972,2
qwen3-32b,Ethiopia,English,SEM-B,11.228813559322036,3
qwen3-32b,Ethiopia,English,SEM-W,9.533898305084746,3
qwen3-32b,Ethiopia,English,SEM-B,10.16949152542373,4
qwen3-32b,Ethiopia,English,SEM-W,8.640536723163843,4
qwen3-32b,Ethiopia,English,SEM-B,11.016949152542372,5
qwen3-32b,Ethiopia,English,SEM-W,8.923022598870057,5
qwen3-32b,Northern_Nigeria,English,SEM-B,10.989010989010987,1
qwen3-32b,Northern_Nigeria,English,SEM-W,9.12820512820513,1
qwen3-32b,Northern_Nigeria,English,SEM-B,10.54945054945055,2
qwen3-32b,Northern_Nigeria,English,SEM-W,9.201465201465204,2
qwen3-32b,Northern_Nigeria,English,SEM-B,9.89010989010989,3
qwen3-32b,Northern_Nigeria,English,SEM-W,8.725274725274726,3
qwen3-32b,Northern_Nigeria,English,SEM-B,9.230769230769232,4
qwen3-32b,Northern_Nigeria,English,SEM-W,7.992673992673993,4
qwen3-32b,Northern_Nigeria,English,SEM-B,10.54945054945055,5
qwen3-32b,Northern_Nigeria,English,SEM-W,9.34065934065934,5
qwen3-32b,Azerbaijan,English,SEM-B,13.432835820895525,1
qwen3-32b,Azerbaijan,English,SEM-W,12.366737739872068,1
qwen3-32b,Azerbaijan,English,SEM-B,13.432835820895525,2
qwen3-32b,Azerbaijan,English,SEM-W,11.737739872068232,2
qwen3-32b,Azerbaijan,English,SEM-B,12.79317697228145,3
qwen3-32b,Azerbaijan,English,SEM-W,11.513859275053305,3
qwen3-32b,Azerbaijan,English,SEM-B,11.513859275053305,4
qwen3-32b,Azerbaijan,English,SEM-W,9.914712153518126,4
qwen3-32b,Azerbaijan,English,SEM-B,12.79317697228145,5
qwen3-32b,Azerbaijan,English,SEM-W,11.115849324804552,5
qwen3-32b,North_Korea,English,SEM-B,9.684684684684685,1
qwen3-32b,North_Korea,English,SEM-W,7.845345345345345,1
qwen3-32b,North_Korea,English,SEM-B,10.36036036036036,2
qwen3-32b,North_Korea,English,SEM-W,8.558558558558557,2
qwen3-32b,North_Korea,English,SEM-B,10.81081081081081,3
qwen3-32b,North_Korea,English,SEM-W,9.027777777777777,3
qwen3-32b,North_Korea,English,SEM-B,10.36036036036036,4
qwen3-32b,North_Korea,English,SEM-W,8.765015015015017,4
qwen3-32b,North_Korea,English,SEM-B,9.90990990990991,5
qwen3-32b,North_Korea,English,SEM-W,8.314564564564563,5
qwen3-32b,West_Java,English,SEM-B,10.262008733624455,1
qwen3-32b,West_Java,English,SEM-W,8.98835516739447,1
qwen3-32b,West_Java,English,SEM-B,10.04366812227074,2
qwen3-32b,West_Java,English,SEM-W,9.112081513828238,2
qwen3-32b,West_Java,English,SEM-B,10.91703056768559,3
qwen3-32b,West_Java,English,SEM-W,9.275836972343525,3
qwen3-32b,West_Java,English,SEM-B,10.480349344978166,4
qwen3-32b,West_Java,English,SEM-W,9.385007278020378,4
qwen3-32b,West_Java,English,SEM-B,9.170305676855897,5
qwen3-32b,West_Java,English,SEM-W,8.275109170305676,5
